ID;STATUS;AANBIEDER;AANSLUITINGEN;DATUMPLAATSING;ADRES;geo_shape;geo_point_2d
307932.0;Bestaand;EVnetNL;2.0;2022-09-13T04:00:00+02:00;Europalaan;"{""coordinates"": [5.481456981560022, 51.45741405806868], ""type"": ""Point""}";51.45741405806868, 5.481456981560022
307937.0;Bestaand;EVnetNL;2.0;2022-10-11T04:00:00+02:00;Winkelcentrum Woensel;"{""coordinates"": [5.477697899375907, 51.4691414667974], ""type"": ""Point""}";51.4691414667974, 5.477697899375907
307938.0;Bestaand;EVnetNL;2.0;2022-10-24T04:00:00+02:00;Amazonenlaan;"{""coordinates"": [5.499919410828509, 51.46333603846164], ""type"": ""Point""}";51.46333603846164, 5.499919410828509
307942.0;;;2.0;;Limburglaan;"{""coordinates"": [5.451140419112179, 51.43467258932581], ""type"": ""Point""}";51.43467258932581, 5.451140419112179
307950.0;Bestaand;EVnetNL;2.0;2022-10-24T04:00:00+02:00;Muzenlaan;"{""coordinates"": [5.488496288204013, 51.461995968541466], ""type"": ""Point""}";51.461995968541466, 5.488496288204013
307953.0;Bestaand;EVnetNL;2.0;2022-10-10T04:00:00+02:00;Gerritsonplein;"{""coordinates"": [5.4631112239941, 51.470146665500835], ""type"": ""Point""}";51.470146665500835, 5.4631112239941
307958.0;Bestaand;EVnetNL;2.0;2022-10-26T04:00:00+02:00;Willem de Rijkelaan;"{""coordinates"": [5.462577209850242, 51.43564905741049], ""type"": ""Point""}";51.43564905741049, 5.462577209850242
307966.0;Bestaand;EVnetNL;2.0;2022-11-15T02:00:00+01:00;Tongelresestraat;"{""coordinates"": [5.5069274672025985, 51.4415583173782], ""type"": ""Point""}";51.4415583173782, 5.5069274672025985
307974.0;Bestaand;Allego;2.0;2022-10-12T04:00:00+02:00;Wilgeboorderweg;"{""coordinates"": [5.519159337084277, 51.45096660517342], ""type"": ""Point""}";51.45096660517342, 5.519159337084277
307980.0;Bestaand;Allego;2.0;2022-09-14T04:00:00+02:00;Zandroos;"{""coordinates"": [5.4062949695905145, 51.44565655270491], ""type"": ""Point""}";51.44565655270491, 5.4062949695905145
307917.0;Bestaand;EVnetNL;2.0;2022-09-21T04:00:00+02:00;Kastelenplein;"{""coordinates"": [5.439154625773929, 51.41843082843318], ""type"": ""Point""}";51.41843082843318, 5.439154625773929
308017.0;Bestaand;;2.0;2022-11-15T02:00:00+01:00;;"{""coordinates"": [5.489715223105448, 51.445928627653466], ""type"": ""Point""}";51.445928627653466, 5.489715223105448
